Input voltage, Input current, Input Power, Test Motor Temperature, Test motor FET temp, Test motor q-axis current, Test motor d-axis current, Output Torque, Output Speed, Output Power, Output Efficiency, Absorber Motor Temperature, Absorber motor FET temp, Absorber q-axis current, Absorber d-axis current
V, mA, W, Deg C, Deg C, A, A, N.mm, rad.s, W, %, Deg C, Deg C, A, A
56.0656795501709, 105.4, 5.904469457244874, -2145386365, 32.46703834533692, -0.07894574105739594, -0.10563715249300003, 105.4, 0.03834952203780995, -0.07085074100459447, 0.0008643292198992808, -239535249, 32.52376747131348, 0.08691351041197777, -0.0013522733002901076
56.02741012573242, 111.2, 6.231268684387207, -2145386365, 32.65596809387207, -0.414935864508152, 0.11320153065025806, 111.4, 10.440658160673353, 0.7109714218782889, 0.009776301771237957, -239535249, 32.656002044677734, -0.5017247527837754, 0.032381149008870125
56.03812522888184, 120.8, 6.76097505645752, -2145386365, 32.747062301635744, -0.39551359713077544, 0.011150416731834412, 121, 20.756679034105694, 0.5060027734467991, 0.005225045958818539, -239535249, 32.73453254699707, -0.6517919093370438, -0.08935352340340615
56.05955581665039, 132.1, 7.397005076599121, -2145386365, 32.68427085876465, -0.4473319798707962, -0.10603703707456588, 131.8, 31.48495866740901, 0.8111307678132693, 0.005581481175731976, -239535249, 32.69367713928223, -0.3223444275557995, -0.04847170040011406
56.04424858093262, 143.7, 8.080485482788086, -2145386365, 32.66227989196777, -0.3464592292904854, -0.09291099905967712, 144, 41.79139208601566, 4.814935940601311, 0.05759331014193556, -239535249, 32.68428497314453, -0.3199659138917923, 0.03188572376966477
56.073332977294925, 159.4, 8.934915479278565, -2145386365, 32.60253982543945, -0.31909358575940133, -0.13942994996905328, 159.2, 52.3854498984071, 5.319807634063177, 0.06544914672649027, -239535249, 32.61195755004883, -0.5027886807918549, 0.027634180337190627
56.04884147644043, 176.6, 9.887525340270995, -2145386365, 32.548958969116214, -0.5711496368050575, -0.10002047568559647, 176.8, 62.70147069693804, 6.933708870132982, 0.07016657483701484, -239535249, 32.50800323486328, -0.5610785320401191, 0.004090710729360581
56.05343322753906, 196.1, 10.993884801101684, -2145386365, 32.3818660736084, -0.27481834404170513, 0.2612683858722448, 196.4, 73.08460315493896, 6.279082423893663, 0.05425853543884824, -239535249, 32.40081443786621, -0.5497573181986809, -0.016331683471798898
56.0335334777832, 217, 12.15961499633789, -2145386365, 32.28705406188965, -0.5078312218189239, -0.1306167021393776, 217.2, 83.68824535119846, 10.13646907235453, 0.08274622427342412, -239535249, 32.31551170349121, -0.2618353649973869, 0.322211366891861
56.04424858093262, 238, 13.324417485046387, -2145386365, 32.17307052612305, -0.3392473518848419, 0.13196415156126023, 238, 94.19601374821511, 9.21016504719285, 0.07558405923367499, -239535249, 32.17308464050293, -0.4034878045320511, 0.028207236528396608
56.01822509765625, 258, 14.469441230010986, -2145386365, 32.08113403320313, -0.622430831193924, -0.22309330888092518, 258.3, 104.72296289719277, 11.03224727771355, 0.07341778488307575, -239535249, 32.04620227813721, -0.5395234823226929, -0.0141853928565979
56.03047218322754, 281.4, 15.758800427627564, -2145386365, 31.988962173461914, -0.44560990631580355, -0.042054508626461026, 281.4, 115.28825557375512, 12.786977554269097, 0.08048196759207576, -239535249, 31.976274299621583, -0.631413248181343, -0.04401128925383091
56.01516418457031, 304.2, 17.039813557434083, -2145386365, 31.842622375488283, -0.4358843736350536, -0.34748843014240266, 304, 125.85354825031749, 13.197930937835155, 0.0649361028403433, -239535249, 31.839447212219238, -0.34006754867732525, 0.11189532298594713
56.01516456604004, 331.6, 18.554312656021118, -2145386365, 31.75650234222412, -0.7315561830997467, 0.10328227877616883, 331, 136.30379236778842, 16.182415359591143, 0.08650953456369373, -239535249, 31.734172439575197, -0.14369627833366394, 0.4140258774161339
56.018225860595706, 354, 19.84293217353821, -2145386365, 31.631920433044435, -0.5141477108001709, 0.07850534021854401, 353.9, 146.52393936707648, 15.966517036027604, 0.08284009690861983, -239535249, 31.676711082458496, -0.3457368552684784, 0.04493075311183929
56.01363334655762, 381.6, 21.39603225517273, -2145386365, 31.548775482177735, -0.45810907185077665, 0.007296435534954071, 382.4, 157.15634370310883, 21.89743360577119, 0.09608930764078934, -239535249, 31.555123329162598, -0.46504496932029726, 0.1585380956530571
56.02281799316406, 405.6, 22.729071615219116, -2145386365, 31.449406623840332, -0.6084638178348541, 0.02095606252551079, 406.1, 167.56823830088263, 21.479989365859836, 0.09313183308176574, -239535249, 31.452609825134278, -0.6597142934799194, -0.17733615189790725
56.02587890625, 437.6, 24.461854028320314, -2145386365, 31.38200988769531, -0.4646988019347191, -0.1386058121919632, 436.9, 178.00889503842927, 29.647287033557355, 0.12112007343573664, -239535249, 31.382013511657714, -0.5585272580385208, 0.24610235989093782
56.01057167053223, 458.3, 25.72351396331787, -2145386365, 31.295240592956542, -0.4897537246346474, 0.28897719383239745, 457.9, 188.63171199453734, 15.895541367636188, 0.07429750068758123, -239535249, 31.30168743133545, -0.5051729679107666, 0.2567697882652283
56.022817611694336, 483.7, 27.06392561416626, -2145386365, 31.221238899230958, -0.633698484301567, 0.22981707826256753, 483.3, 198.88062113359828, 22.134059395322602, 0.0818543489434016, -239535249, 31.22124481201172, -0.30815878212451936, 0.42051002383232117
56.04271774291992, 510.9, 28.62747771759033, -2145386365, 31.163253593444825, -0.4654921665787697, -0.18220216482877732, 511.4, 209.52262483377984, 20.175732562520924, 0.07212528818943464, -239535249, 31.16323642730713, -0.39836206138134, 0.5413949429988861
